fname,lname,age,exercise,hours,grade,address,hours_normalizada,gender_male
Josephine,Lynn,18,3,15,99.2,"7389 Highland Rd. , Annandale, VA 22003",0.75,0
Forrest,Rollins,17,2,19,87.2,"Manitowoc, WI 54220, 441 Big Rock Cove St. ",0.9500000000000001,1
Perry,Ramsey,18,4,8,87.5,"849 Broad Ave. , Wausau, WI 54401",0.4,1
Cody,Merritt,19,5,5,75.3,"9235 Border Ave. , North Royalton, OH 44133",0.25,1
Camden,Day,15,4,8,82.7,"117 Tailwater Court , Allen Park, MI 48101",0.4,1
Eve,Mayer,17,4,15,83.7,"8871 Elm Drive , Naugatuck, CT 06770",0.75,0
Leslie,Kaufman,18,3,18,90.3,"585 Fairground Dr. , Fort Myers, FL 33905",0.9,0
Declan,Hinton,15,2,12,76.5,"24 Bridge St. , Kennewick, WA 99337",0.6000000000000001,1
Roth,Patrick,14,2,13,90.4,"12 Brickyard Court , Monroe Township, NJ 08831",0.65,1
Nathan,Phillips,15,4,8,71.2,"82 North Olive Rd. , Reynoldsburg, OH 43068",0.4,1
Elvis,Watkins,14,2,11,80.7,"Cumming, GA 30040, 348B Morris Street ",0.55,1
Germaine,Nunez,18,2,15,95.2,"Parkersburg, WV 26101, 56 Tailwater Lane ",0.75,0
Audra,Combs,17,5,12,78.5,"1 E. Cleveland St. , Miamisburg, OH 45342",0.6000000000000001,0
Lavinia,Marshall,17,3,9,74.6,"Stafford, VA 22554, 486 Thompson Ave. ",0.45,0
Kadeem,Garcia,15,2,10,73.3,"832 Golf Court , Woodside, NY 11377",0.5,1
Roth,Dickson,16,5,12,77.6,"84 Highland Drive , Woodstock, GA 30188",0.6000000000000001,1
Chava,Meadows,16,4,11,93.0,"Kansas City, MO 64151, 8194 West Ave. ",0.55,0
Mary,Estrada,18,2,9,74.0,"9 Tunnel Rd. , Milford, MA 01757",0.45,0
Dylan,Espinoza,19,4,10,74.1,"662 Main St. , Batavia, OH 45103",0.5,1
Haley,Cruz,18,1,4,71.1,"Summerville, SC 29483, 8 West Kirkland St. ",0.2,0
Thomas,Dotson,14,5,11,84.0,"85 Courtland St. , Lowell, MA 01851",0.55,1
Jayme,Chang,15,4,6,78.4,"17 Holly St. , Gainesville, VA 20155",0.30000000000000004,0
Hall,Rowland,18,2,14,92.2,"96 West Alton St. , Mason City, IA 50401",0.7000000000000001,1
Amanda,Vincent,15,4,10,88.5,"North Kingstown, RI 02852, 284 Dunbar Rd. ",0.5,0
Ria,Bowen,15,2,5,76.5,"537 Golf Court , Crystal Lake, IL 60014",0.25,0
Illiana,Branch,14,5,4,69.8,"8860 Lawrence Street , Port Orange, FL 32127",0.2,0
Vanna,Mccarthy,16,5,9,76.5,"430 Beech Drive , Cordova, TN 38016",0.45,0
Nathan,Gutierrez,17,4,12,77.1,"957 Blackburn St. , Monroe Township, NJ 08831",0.6000000000000001,1
Jane,Allison,17,2,11,74.5,"Granger, IN 46530, 323 Winding Way Ave. ",0.55,0
Christopher,Warner,14,2,15,84.5,"23 Richardson Drive , Centreville, VA 20120",0.75,1
Fiona,Higgins,18,1,11,77.5,"1 Magnolia Ave. , Satellite Beach, FL 32937",0.55,0
Jemima,Vargas,17,1,8,74.9,"7166 Lakeshore Street , Greensboro, NC 27405",0.4,0
Raven,Mendez,18,5,13,87.0,"578 West Snake Hill Drive , Hollywood, FL 33020",0.65,0
Quintessa,Boyle,16,3,3,69.4,"Clinton, MD 20735, 79 Marlborough St. ",0.15000000000000002,0
Kamal,Walton,14,1,17,100.0,"51 NW. Henry Smith St. , Morgantown, WV 26508",0.8500000000000001,1
Cassandra,Barton,18,4,12,79.5,"70 Bishop St. , Wilmington, MA 01887",0.6000000000000001,0
Hayes,Ellis,19,1,5,74.0,"56 Shirley Dr. , Houston, TX 77016",0.25,1
Jana,Schroeder,14,5,9,82.6,"7337 SW. Golden Star Dr. , Inman, SC 29349",0.45,0
Janna,King,15,1,6,77.0,"482 Carpenter Court , Apt 82 ",0.30000000000000004,0
Britanni,Fletcher,15,1,10,80.7,"152 Summerhouse St. , Batavia, OH 45103",0.5,0
Hanna,Dorsey,19,2,14,96.6,"365 Fawn Street , Gibsonia, PA 15044",0.7000000000000001,0
Honorato,Hogan,17,1,19,90.1,"513 North Hawthorne Dr. , Glendale, AZ 85302",0.9500000000000001,1
Jane,Reed,15,1,9,72.5,"Salisbury, MD 21801, 710 Walt Whitman Street ",0.45,0
Nita,Rios,19,1,15,80.4,"360 Strawberry St. , Mableton, GA 30126",0.75,0
Zena,Kirk,18,3,12,89.0,"663 Old Cedar Ave. , Jackson, NJ 08527",0.6000000000000001,0
Cally,Garrison,17,3,7,84.7,"Hialeah, FL 33010, 48 Essex St. ",0.35000000000000003,0
Nissim,Oconnor,16,5,14,94.7,"94 Glenholme St. , Neptune, NJ 07753",0.7000000000000001,1
Nicole,Webb,14,3,14,94.2,"77 W. Cedar Swamp Dr. , Andover, MA 01810",0.7000000000000001,0
Todd,Cunningham,16,1,16,81.4,"8585 San Pablo Drive , Munster, IN 46321",0.8,1
Rina,Combs,17,3,13,84.2,"9 South Mammoth Street , Quincy, MA 02169",0.65,0
Price,Tran,17,2,10,74.1,"8376 Golf Ave. , Fresh Meadows, NY 11365",0.5,1
Shad,Walker,17,3,10,78.7,"907 Studebaker St. , Pearl, MS 39208",0.5,1
Lysandra,Copeland,19,5,19,100.0,"Aiken, SC 29803, 7172 St Paul Street ",0.9500000000000001,0
Rhiannon,Terrell,14,2,13,88.9,"Ephrata, PA 17522, 75 West Avenue ",0.65,0
Jackson,Williamson,15,1,10,75.3,"8255 Poor House Dr. , Anoka, MN 55303",0.5,1
Leigh,Jones,18,3,4,74.5,"Cottage Grove, MN 55016, 9644 Shady Dr. ",0.2,0
Thor,Ramos,17,3,18,100.0,"Battle Creek, MI 49015, 65 St Paul St. ",0.9,1
Reese,Morales,19,2,8,71.2,"163 St Louis St. , Vista, CA 92083",0.4,1
Ray,Randall,16,4,10,73.2,"572 Wagon St. , North Haven, CT 06473",0.5,1
Tasha,Wilkins,15,4,16,99.2,"91 Mill Street , Media, PA 19063",0.8,0
Yoko,Cain,16,4,16,96.5,"Savage, MN 55378, 599 Lyme Street ",0.8,0
Curran,Petersen,14,5,8,72.9,"304 S. Ketch Harbour St. , Wadsworth, OH 44281",0.4,1
Garrison,Carson,17,4,6,81.2,"Largo, FL 33771, 7068 Hawthorne Street ",0.30000000000000004,1
Judith,Perez,17,5,12,93.1,"Athens, GA 30605, 409 Rock Creek Lane ",0.6000000000000001,0
Hammett,Rios,17,1,7,78.8,"318 Meadow St. , Carol Stream, IL 60188",0.35000000000000003,1
Flynn,Berger,17,2,10,84.9,"9493 Mulberry Rd. , Fernandina Beach, FL 32034",0.5,1
Steven,Everett,17,3,12,79.3,"Ridgewood, NJ 07450, 9088 Longbranch Rd. ",0.6000000000000001,1
Lucy,Rodriquez,16,2,10,79.6,"Athens, GA 30605, 144 Beechwood Ave. ",0.5,0
Orlando,Osborne,19,4,8,69.3,"482 Indian Spring St. , Ypsilanti, MI 48197",0.4,1
Micah,Wolfe,14,4,11,83.2,"Cornelius, NC 28031, 477 St Margarets Avenue ",0.55,1
Lunea,Harper,17,4,11,92.3,"9476 Pawnee Ave. , Winston Salem, NC 27103",0.55,0
Abbot,Hall,16,4,3,58.9,"Lewis Center, OH 43035, 279 Lake View Dr. ",0.15000000000000002,1
Zia,Ratliff,19,2,19,88.4,"445 Shady St. , Pueblo, CO 81001",0.9500000000000001,0
Charissa,West,18,4,6,69.9,"74 Pacific St. , Liverpool, NY 13090",0.30000000000000004,0
Athena,Collins,17,1,4,71.3,"Grand Rapids, MI 49503, 26 Corona Street ",0.2,0
Fuller,Christian,15,5,9,82.0,"Pikesville, MD 21208, 9781 Linda Street ",0.45,1
Shelley,Nielsen,15,5,10,88.1,"436 West Bear Hill St. , Jonesboro, GA 30236",0.5,0
Hamish,Carey,17,1,6,75.6,"171 Shub Farm Street , Millville, NJ 08332",0.30000000000000004,1
Jayme,Santiago,16,3,6,77.1,"306 Parker Dr. , Romulus, MI 48174",0.30000000000000004,0
Isaiah,Harrell,17,5,7,75.8,"7306 Annadale Drive , Lake Worth, FL 33460",0.35000000000000003,1
Rudyard,Horton,19,3,13,77.5,"Grove City, OH 43123, 7695 Washington St. ",0.65,1
Georgia,Hensley,16,5,11,87.4,"37 Lake Forest Lane , Crofton, MD 21114",0.55,0
Nehru,Ballard,14,1,19,93.3,"39 Rockville Street , Elgin, IL 60120",0.9500000000000001,1
Ciara,Valdez,19,4,7,73.1,"Lincolnton, NC 28092, 7277 St Margarets Drive ",0.35000000000000003,0
Keelie,Sparks,14,5,16,99.5,"Clarkston, MI 48348, 9073 N. College St. ",0.8,0
Evan,Ball,14,2,9,80.7,"323 West Paris Hill Lane , Sarasota, FL 34231",0.45,1
Kadeem,Marshall,17,5,18,100.0,"79 Ashley Lane , Hattiesburg, MS 39401",0.9,1
Luke,Santana,17,1,0,75.0,"339 E. Cambridge Ave. , Twin Falls, ID 83301",0.0,1
Sara,Gonzalez,14,2,6,72.4,"Andover, MA 01810, 9362 Thorne Court ",0.30000000000000004,0
Rhiannon,Douglas,16,3,15,82.5,"9165 Nicolls St. , Eau Claire, WI 54701",0.75,0
Margaret,Mitchell,19,2,14,94.9,"726 Arnold Ave. , Mount Vernon, NY 10550",0.7000000000000001,0
Nomlanga,Hoover,18,1,11,80.0,"567 W. Mill Pond Lane , Hicksville, NY 11801",0.55,0
Jescie,Horne,18,0,16,83.4,"8 Whitemarsh Court , Matawan, NJ 07747",0.8,0
Claire,Wheeler,14,2,14,90.4,"9461 Lawrence St. , Buffalo Grove, IL 60089",0.7000000000000001,0
Madeson,Wilkins,15,4,16,98.0,"968 Riverview Street , Palos Verdes Peninsula, CA 90274",0.8,0
Prescott,Kaufman,15,1,17,96.3,"7166 Mill Pond St. , Roslindale, MA 02131",0.8500000000000001,1
Kaitlin,Solomon,17,1,8,66.4,"New Port Richey, FL 34653, 8 West Pearl St. ",0.4,0
Yardley,Horne,18,1,10,79.6,"8756 North Oxford Dr. , Smithtown, NY 11787",0.5,1
Hasad,Rice,19,4,16,95.9,"61 Church St. , Holbrook, NY 11741",0.8,1
Tana,Rodgers,15,5,15,96.6,"93 Smith Store Court , Detroit, MI 48205",0.75,0
Mufutau,Dawson,17,5,14,99.9,"375 Crescent St. , Eastpointe, MI 48021",0.7000000000000001,1
Paul,Haley,18,5,17,84.2,"85 Indian Spring Drive , Coventry, RI 02816",0.8500000000000001,1
Bryar,Melendez,18,5,12,93.4,"Amarillo, TX 79106, 471 Oak Valley Drive ",0.6000000000000001,0
Arthur,Morse,19,1,14,80.2,"8651 West Fieldstone St. , Tallahassee, FL 32303",0.7000000000000001,1
Inga,Sharpe,17,1,5,74.1,"Wyandotte, MI 48192, 633 Fifth Ave. ",0.25,0
Steel,Solomon,16,4,13,87.3,"8939 Cambridge Street , Troy, NY 12180",0.65,1
Brianna,Trevino,18,3,13,82.6,"8028 North Van Dyke Lane , Alpharetta, GA 30004",0.65,0
Noah,Blanchard,14,2,14,88.1,"Cambridge, MA 02138, 19 Academy Street ",0.7000000000000001,1
Kelsie,Diaz,15,4,15,93.9,"857 Country Club Drive , Greensburg, PA 15601",0.75,0
Jacob,Finch,15,2,14,87.1,"4 Strawberry St. , Depew, NY 14043",0.7000000000000001,1
Baker,Winters,15,2,14,89.8,"Apt 36 , Winona, MN 55987",0.7000000000000001,1
Jael,Knapp,14,3,15,83.7,"44 North Marconi Ave. , Nampa, ID 83651",0.75,0
Norman,Kinney,15,3,14,88.0,"22 S. Elm Lane , Menasha, WI 54952",0.7000000000000001,1
Jacob,Gray,15,3,17,100.0,"7874 Cherry Hill Ave. , Flushing, NY 11354",0.8500000000000001,1
Cynthia,Hurley,16,4,12,81.0,"Dorchester, MA 02125, 90 Maiden Street ",0.6000000000000001,0
Elijah,Bell,19,5,16,88.4,"8064 White Drive , Hamilton, OH 45011",0.8,1
Isaiah,Avery,15,3,9,82.3,"69 W. Carpenter Drive , Depew, NY 14043",0.45,1
Miriam,Jacobson,17,2,10,77.8,"9931 W. Glenwood St. , Medford, MA 02155",0.5,0
Hiroko,Koch,17,4,15,90.4,"Asheville, NC 28803, 7732 High Dr. ",0.75,0
Colton,Ochoa,17,1,4,60.3,"Dubuque, IA 52001, 43 Hamilton Road ",0.2,1
Caldwell,Dorsey,17,5,9,79.1,"83 Gulf Lane , Flemington, NJ 08822",0.45,1
Pandora,Dickerson,15,2,3,70.5,"Xenia, OH 45385, 820 Fifth Rd. ",0.15000000000000002,0
Thomas,Boyer,17,4,17,89.9,"681 Harvard Dr. , Encino, CA 91316",0.8500000000000001,1
Phelan,Mcmillan,17,3,17,98.0,"60 Middle River Dr. , Royal Oak, MI 48067",0.8500000000000001,1
Gabriel,Jordan,16,4,2,62.0,"973 White Rd. , Englishtown, NJ 07726",0.1,1
Kamal,Dodson,17,4,7,77.6,"10 Glenridge St. , Orange Park, FL 32065",0.35000000000000003,1
Holmes,Lawson,18,2,16,98.7,"202 Second Lane , Chatsworth, GA 30705",0.8,1
Preston,Church,17,1,8,66.1,"Dorchester, MA 02125, 18 Walt Whitman Dr. ",0.4,1
Chester,Becker,19,3,14,89.4,"Queensbury, NY 12804, 7978 Glenridge Street ",0.7000000000000001,1
Quamar,Delaney,15,4,11,91.3,"38 East Bellevue Dr. , Macon, GA 31204",0.55,1
Amery,Mcmahon,19,3,12,84.2,"63 Lancaster St. , Nicholasville, KY 40356",0.6000000000000001,1
Vance,Cherry,17,2,6,65.1,"98 Halifax Street , Arvada, CO 80003",0.30000000000000004,1
Lee,Ramsey,19,1,10,86.5,"1 SW. Old York Ave. , New Windsor, NY 12553",0.5,0
Malik,Vega,19,2,10,72.3,"8319 Hillcrest Dr. , Hamden, CT 06514",0.5,1
Dana,Weaver,14,3,6,67.3,"Buford, GA 30518, 7057 Fordham St. ",0.30000000000000004,0
Kelly,Crane,14,2,8,80.6,"7833 Country Club Ave. , Medford, MA 02155",0.4,1
Ryan,Petersen,16,5,11,81.3,"Suite 95 , Central Islip, NY 11722",0.55,1
Brett,Wilkerson,18,2,7,76.0,"9559 Old Cedar St. , Vista, CA 92083",0.35000000000000003,1
Veda,Gilbert,18,4,12,82.5,"Bridgeport, CT 06606, 14 Rockland St. ",0.6000000000000001,0
Ezekiel,Alexander,16,5,8,81.5,"9332 Canal St. , Hudsonville, MI 49426",0.4,1
Ulla,Marshall,17,2,12,81.0,"Saugus, MA 01906, 443 North Boston Street ",0.6000000000000001,0
Linda,Baldwin,16,5,2,59.0,"7765 Bishop Dr. , Perkasie, PA 18944",0.1,0
Ulysses,Huber,14,1,7,66.6,"41 Thatcher Drive , Owensboro, KY 42301",0.35000000000000003,1
Tana,Frye,17,3,6,81.2,"8704 Wood Ave. , Cranford, NJ 07016",0.30000000000000004,0
Kaye,Potts,19,1,5,66.6,"87 Miller Ave. , Round Lake, IL 60073",0.25,0
Marshall,Reeves,15,4,11,83.0,"7666 Myers Ave. , Los Banos, CA 93635",0.55,1
Hedley,Rodriguez,15,3,8,78.3,"450 North Jefferson St. , Willoughby, OH 44094",0.4,1
Gillian,Cunningham,19,5,13,82.9,"8365 N. Temple St. , Nutley, NJ 07110",0.65,0
Nadine,Jacobson,17,4,11,75.5,"175 Bank St. , Butler, PA 16001",0.55,0
Nathan,Ferrell,16,2,13,77.5,"150 S. Winding Way Avenue , Wheaton, IL 60187",0.65,1
Amethyst,Christensen,15,5,6,80.4,"Banning, CA 92220, 651 Acacia Lane ",0.30000000000000004,0
Nigel,Wilkins,19,5,10,90.0,"El Dorado, AR 71730, 89 Grand St. ",0.5,1
Nigel,Mclean,18,4,12,77.6,"24 North Paris Hill St. , Anderson, SC 29621",0.6000000000000001,1
Dara,Weber,15,3,11,85.7,"9643 Williams Street , Hartselle, AL 35640",0.55,0
Neil,Beck,16,2,18,91.4,"7622 Lake St. , Meriden, CT 06450",0.9,1
Mollie,Ryan,15,1,14,97.2,"102 Schoolhouse St. , Indian Trail, NC 28079",0.7000000000000001,0
Yolanda,Hanson,15,4,16,94.3,"Villa Rica, GA 30180, 293 Clark Dr. ",0.8,0
Sonia,Jacobson,18,1,14,88.2,"South Ozone Park, NY 11420, 328 North Court ",0.7000000000000001,0
Dustin,Chambers,17,5,15,94.7,"Cocoa, FL 32927, 582 Manchester Ave. ",0.75,1
Berk,Austin,19,5,11,88.1,"Vineland, NJ 08360, 674 Lower River St. ",0.55,1
Scott,Snow,16,4,5,77.2,"Fuquay Varina, NC 27526, 442 Homestead Drive ",0.25,1
Nicole,Harrell,18,4,10,76.7,"8435 Carson Avenue , Warminster, PA 18974",0.5,0
Myra,Wilkinson,14,5,14,86.2,"Cornelius, NC 28031, 66 Rock Creek Dr. ",0.7000000000000001,0
Shoshana,Moses,14,3,13,87.4,"Media, PA 19063, 10 Spring Avenue ",0.65,0
Asher,Sloan,17,5,7,70.2,"Avon, IN 46123, 9 Miles St. ",0.35000000000000003,1
Kaden,Grant,17,5,14,100.0,"Basking Ridge, NJ 07920, 8954 Glen Eagles Court ",0.7000000000000001,0
Aaron,Knowles,16,4,11,88.7,"779 Bayport St. , Wheeling, WV 26003",0.55,1
Chester,Stuart,19,2,5,65.3,"8371 Cross Ave. , Windsor, CT 06095",0.25,1
Quin,Prince,18,5,15,92.4,"Newton, NJ 07860, 940 Gregory St. ",0.75,0
Jared,Randall,19,1,11,89.0,"Hamilton, OH 45011, 6 Shore Ave. ",0.55,1
September,Hoffman,16,3,11,82.8,"8632 Lincoln Street , Rahway, NJ 07065",0.55,0
Maxwell,Carver,15,1,11,81.8,"West Babylon, NY 11704, 6 Heather Street ",0.55,1
Miranda,Donovan,16,2,4,63.7,"West Lafayette, IN 47906, 117 Shub Farm Drive ",0.2,0
Shaine,Harrell,14,1,11,90.3,"94 Chestnut St. , Aberdeen, SD 57401",0.55,0
Craig,Sweeney,15,4,10,88.1,"875 Catherine Ave. , Crystal Lake, IL 60014",0.5,1
Claudia,Bradshaw,19,4,10,80.4,"984 Ashley Lane , Randolph, MA 02368",0.5,0
Adria,Bender,19,1,7,76.8,"322 East Park Rd. , Harrison Township, MI 48045",0.35000000000000003,0
Alfonso,Petersen,17,5,11,88.8,"Montgomery, AL 36109, 7211 Peninsula Drive ",0.55,1
Henry,Chang,18,2,16,94.6,"Atlanta, GA 30303, 722 Mammoth Drive ",0.8,1
Zachery,Dorsey,16,4,15,85.5,"9492 Holly Street , Arvada, CO 80003",0.75,1
Barclay,Finley,18,4,11,86.9,"Stratford, CT 06614, 9955 Vine St. ",0.55,1
Audra,Stout,14,5,10,85.1,"73 Marshall Drive , Derry, NH 03038",0.5,0
Ila,Mooney,14,5,12,93.8,"Portsmouth, VA 23703, 9978 North Lakeshore Rd. ",0.6000000000000001,0
Felix,Spears,16,2,11,76.5,"84 Boston Lane , Longwood, FL 32779",0.55,1
Roanna,Hoover,17,5,15,94.2,"285 North Marconi Dr. , West Orange, NJ 07052",0.75,0
Audra,Murphy,18,1,12,74.2,"728 Parker Dr. , Des Moines, IA 50310",0.6000000000000001,0
Isaac,Gray,16,5,12,81.0,"7766 N. Colonial St. , Menasha, WI 54952",0.6000000000000001,1
Laura,Shannon,16,4,13,82.4,"West Lafayette, IN 47906, 3 Evergreen St. ",0.65,0
Myra,Parrish,19,5,15,100.0,"8641 Greystone Dr. , Parsippany, NJ 07054",0.75,0
Iola,Fernandez,17,1,14,81.6,"45 Jennings Street , Algonquin, IL 60102",0.7000000000000001,0
Inez,Stephenson,17,5,17,100.0,"Murfreesboro, TN 37128, 109 Longbranch Street ",0.8500000000000001,0
Kyra,Love,19,2,12,93.0,"747 Brookside Avenue , Thibodaux, LA 70301",0.6000000000000001,0
Emery,Shepherd,14,5,11,89.0,"26C Boston Court , Hudson, NH 03051",0.55,1
Sade,Juarez,18,3,5,61.1,"Barberton, OH 44203, 82 New St. ",0.25,0
Aline,Bond,18,4,6,68.2,"1 Ashley Ave. , Lagrange, GA 30240",0.30000000000000004,0
Cyrus,Kelley,19,5,13,81.8,"Danvers, MA 01923, 9582 Glenholme Dr. ",0.65,1
Patrick,Bell,19,1,11,85.0,"16 North Hillside Road , Rock Hill, SC 29730",0.55,1
Kuame,Gordon,18,1,16,83.5,"90 Woodside Street , Banning, CA 92220",0.8,1
Yvette,Coleman,18,4,17,89.8,"20 Illinois St. , Hamtramck, MI 48212",0.8500000000000001,0
Ronan,Howell,19,3,4,68.0,"Elk River, MN 55330, 34 Saxon Rd. ",0.2,1
Courtney,Bryan,16,5,15,88.3,"49 Cambridge Street , Jeffersonville, IN 47130",0.75,0
Tate,Fletcher,15,3,12,87.2,"827 Pine St. , Cedar Rapids, IA 52402",0.6000000000000001,1
Pascale,Freeman,16,5,15,96.4,"Westfield, MA 01085, 388 Blackburn Drive ",0.75,0
Morgan,Ayala,14,5,4,73.0,"41 Nichols Ave. , Norwich, CT 06360",0.2,0
Declan,Manning,18,4,16,100.0,"7145 Main Drive , High Point, NC 27265",0.8,1
Dana,Vang,17,4,14,88.7,"499 Bedford Ave. , Hyattsville, MD 20782",0.7000000000000001,0
Orlando,Mcguire,15,1,13,84.4,"9139 Elmwood St. , New Bedford, MA 02740",0.65,1
Giselle,Estes,15,1,6,65.9,"70 Temple Road , Neenah, WI 54956",0.30000000000000004,0
Ryan,Hodge,17,1,4,60.9,"8 Oakland Dr. , Hialeah, FL 33010",0.2,1
Kylee,Santana,18,4,10,90.3,"Unit 65 , Winston Salem, NC 27103",0.5,0
Laith,Henderson,19,1,6,67.4,"6 E. New St. , Patchogue, NY 11772",0.30000000000000004,1
Sarah,Gibbs,15,5,9,71.3,"9369 Meadowbrook Street , Port Chester, NY 10573",0.45,0
Hiroko,Parsons,14,3,17,95.4,"Rockford, MI 49341, 226 E. Arlington Avenue ",0.8500000000000001,0
John,Branch,15,2,17,86.5,"621 Sherwood Drive , Huntington Station, NY 11746",0.8500000000000001,1
Inez,Vargas,16,2,19,93.4,"7366 Thatcher Ave. , Ypsilanti, MI 48197",0.9500000000000001,0
Ciaran,Brady,19,3,3,62.5,"9817 Winding Way Lane , Lincoln, NE 68506",0.15000000000000002,1
Elvis,Stewart,16,5,8,85.1,"9884 Green Hill Drive , Waukegan, IL 60085",0.4,1
Elton,Sanchez,16,4,9,70.1,"1 Shipley St. , Fenton, MI 48430",0.45,1
Bertha,Waller,19,5,8,80.5,"7272 Purple Finch Street , Forest Hills, NY 11375",0.4,0
Cameron,Craig,16,4,11,76.7,"93 Glenlake St. , Oxnard, CA 93035",0.55,0
Griffin,Woodward,19,5,14,92.5,"Dickson, TN 37055, 76 Arcadia St. ",0.7000000000000001,1
Savannah,Sherman,14,3,16,87.3,"Lake Villa, IL 60046, 988 Tower Lane ",0.8,0
Sydnee,Carpenter,14,4,11,75.3,"771 Vale St. , Saint Charles, IL 60174",0.55,0
Clarke,Crawford,18,1,8,77.8,"7654 Plymouth St. , Buffalo, NY 14215",0.4,1
Aileen,Mcgee,19,5,10,85.4,"9431 Homewood Drive , Little Falls, NJ 07424",0.5,0
Michael,Bell,15,3,7,64.1,"317 Ohio Dr. , New Hyde Park, NY 11040",0.35000000000000003,1
Ivana,Watts,16,5,9,87.4,"New Bern, NC 28560, 7531 Leeton Ridge St. ",0.45,0
Kerry,Mcbride,16,1,6,67.0,"8423 N. Summer St. , Tiffin, OH 44883",0.30000000000000004,0
Kasimir,Clarke,16,5,8,68.2,"8569 South Smoky Hollow Dr. , Upland, CA 91784",0.4,1
Celeste,Alford,14,5,8,73.2,"Dekalb, IL 60115, 7464 Surrey Court ",0.4,0
Nyssa,Kent,17,5,4,76.1,"13 Hudson St. , Oshkosh, WI 54901",0.2,0
Jolene,Rivers,14,5,10,79.3,"275 East Wood St. , Enterprise, AL 36330",0.5,0
Bo,Miranda,18,1,11,82.8,"Lockport, NY 14094, 859 Golden Star Street ",0.55,0
Summer,Lang,15,3,12,85.8,"Depew, NY 14043, 865 Prospect St. ",0.6000000000000001,0
Gloria,Morrison,15,1,10,88.0,"Fuquay Varina, NC 27526, 436 West Logan Drive ",0.5,0
Bethany,Fields,14,5,12,88.2,"378 Country Lane , Chatsworth, GA 30705",0.6000000000000001,0
Sonia,Kelly,17,4,7,83.6,"Linden, NJ 07036, 8075 Gregory Lane ",0.35000000000000003,0
Noah,Suarez,16,1,12,82.6,"Altamonte Springs, FL 32714, 9828 Ridgewood Drive ",0.6000000000000001,1
Travis,Avery,15,4,12,85.1,"160 Livingston Ave. , Birmingham, AL 35209",0.6000000000000001,1
Dai,Osborne,19,5,20,100.0,"Springfield Gardens, NY 11413, 7964 E. Ramblewood Rd. ",1.0,0
Rebekah,Skinner,16,2,13,81.7,"The Villages, FL 32162, 101 Oak Meadow Street ",0.65,0
Zorita,Oliver,16,2,12,93.1,"96 Crescent Dr. , York, PA 17402",0.6000000000000001,0
Tara,Townsend,14,1,9,71.0,"524 Jackson St. , Gainesville, VA 20155",0.45,0
Kaitlin,Lane,15,3,10,71.0,"Drexel Hill, PA 19026, 618 Walt Whitman St. ",0.5,0
Preston,Paul,16,4,8,67.8,"20 Maple Circle , Rockville, MD 20850",0.4,1
Kirk,Keller,16,4,6,77.0,"9469 West Manor Dr. , Stoughton, MA 02072",0.30000000000000004,1
Zeph,Gilmore,19,3,9,88.3,"8042 Highland Street , Stockbridge, GA 30281",0.45,1
Rahim,Weaver,19,4,12,92.9,"847 Woodland Avenue , Waukegan, IL 60085",0.6000000000000001,1
Linus,Snow,18,5,17,88.4,"2 Stillwater St. , Manchester Township, NJ 08759",0.8500000000000001,1
Vladimir,Salinas,17,3,5,70.9,"9781 Union St. , Norwalk, CT 06851",0.25,1
Wang,Reed,16,5,13,93.7,"83 Sycamore Avenue , Carpentersville, IL 60110",0.65,1
Kaseem,Leon,18,1,5,67.1,"498 King St. , Owosso, MI 48867",0.25,1
Yetta,Vasquez,17,2,6,77.3,"Muncie, IN 47302, 71 East Vernon Ave. ",0.30000000000000004,0
Lacey,Tucker,17,4,16,87.5,"76 Holly Dr. , Summerville, SC 29483",0.8,0
James,Mccormick,15,3,5,71.0,"8288 Mulberry Circle , Waynesboro, PA 17268",0.25,1
Inga,Webster,14,3,10,75.9,"Piscataway, NJ 08854, 30 South 8th Street ",0.5,0
Eagan,Oliver,17,4,11,86.6,"7103 Green Ave. , Raeford, NC 28376",0.55,1
Orson,Burton,18,3,17,96.6,"8105 Stonybrook St. , Graham, NC 27253",0.8500000000000001,1
Noelani,Villarreal,19,1,5,75.4,"17 Valley View St. , Cornelius, NC 28031",0.25,0
Chester,Vance,17,1,5,60.1,"Windermere, FL 34786, 8605 South Shady Road ",0.25,1
Stuart,Powell,17,1,6,64.1,"4 Bishop Drive , Glen Cove, NY 11542",0.30000000000000004,1
Robert,Bass,16,4,9,73.8,"8583 Colonial Street , Wakefield, MA 01880",0.45,1
Zephania,Dotson,16,4,14,98.1,"972 Highland St. , Tupelo, MS 38801",0.7000000000000001,1
Robin,Adkins,16,4,4,68.0,"45 West Washington Court , Waldorf, MD 20601",0.2,0
Kamal,Wheeler,17,5,15,86.3,"Mcminnville, TN 37110, 932 Pilgrim Street ",0.75,1
William,Greene,19,4,11,84.0,"1 East William Street , Blacksburg, VA 24060",0.55,1
Merritt,Donovan,16,5,7,83.1,"13 Marsh St. , Opa Locka, FL 33054",0.35000000000000003,1
Orla,Carlson,19,3,8,75.8,"983 Bowman Drive , Greenfield, IN 46140",0.4,0
Byron,Buckner,16,2,13,92.9,"592 East William Lane , Ronkonkoma, NY 11779",0.65,1
Aimee,Sheppard,14,3,12,87.0,"Toms River, NJ 08753, 67 East Wayne St. ",0.6000000000000001,0
Daphne,Patel,19,1,10,82.2,"East Northport, NY 11731, 7073 Baker St. ",0.5,0
